Date,Bancos,Petroleo_Gas,Mineracao_Siderurgia,Varejo_Discricionario,Consumo_Defensivo,Utilities_Energia,Saneamento,Papel_Celulose,Saude,Imobiliario_Construcao,Transporte_Logistica,Agro_Alimentos,ret_mercado,ret_commodity,selic_meta,cambio_usdbrl,ipca_mensal
2018-02,0.009679455698999834,-0.04479765647644329,0.050842790874716576,-0.024290542344659254,-0.03413002677115388,0.10836043574128833,-0.014124645726362739,0.028906084520323172,-0.09165000222909758,0.03904167073737611,0.0020519850480308355,-0.014596067522854991,0.006689199533640222,-0.013132791721426673,6.75,3.2449,0.32
2018-03,0.03758947933685816,-0.09426850223741468,-0.09426787512954382,-0.009504054253086869,0.0357604435881137,-0.03064819597969748,0.05055145033840388,0.35045669726639883,0.0003683231845508228,0.0055439277320276465,0.015312894852379189,-0.018202724760730187,-0.0013453282015886137,-0.015961484644760215,6.5,3.3238,0.09
2018-04,-0.04651571930338225,0.15202494946366718,0.05955852401371112,0.02977689906774339,-0.0794087974664535,-0.05585565929715767,0.016376956144418253,0.12820979188147552,-0.015617835285733905,-0.09898273911486666,0.051286763310595285,0.198771635804299,0.008773984958882819,-0.06355811333055594,6.5,3.4811,0.22
2018-05,-0.14882083930628517,-0.09607604483361065,-0.10841194364070017,-0.08675104431872745,-0.11676137847374102,-0.09130746299901427,-0.1754415063199054,0.021723593866459667,0.013196518411561775,-0.10634140506611667,-0.09166780533081159,0.01450304958316632,-0.10870347790744939,0.010418267812918769,6.5,3.737,0.4
2018-06,-0.08033437904491217,-0.05536563281634005,-0.04205608392025434,0.0751909313842511,-0.013814764425777004,-0.07020109725975954,-0.05615812024184782,-0.00820006336687168,0.03620567351869697,-0.06819178005459281,-0.009718645537457216,0.07640888665220665,-0.05199729004351561,0.003202998843600424,6.5,3.8558,1.26
2018-07,0.15859387594591606,0.1465178363019629,0.1711731465357707,0.014590985902805645,0.07210555434944836,0.19660010767009953,0.004386408883968351,0.010636427199718246,-0.011359159381526207,0.07486253767902322,0.028389890789067507,0.04595922247502515,0.08874015639816935,-0.006944514759934295,6.5,3.7549,0.33
2018-08,-0.0625369382606607,0.07760246171296015,-0.04859505844162365,-0.055580672955127586,0.00042055323585325305,-0.03416956422360503,0.00870499581162217,0.059441676742689964,-0.07098461865285266,-0.048722730398891745,-0.067612318262467,-0.019249450314895927,-0.03208785660186819,0.043667525324314393,6.5,4.1353,-0.09
2018-09,0.02332926003389657,0.13599242704977899,0.0809325656557518,0.03991587726554213,-0.015176692021645918,0.002830722619513041,-0.0531446254766366,-0.022082772977525256,-0.11932199314512248,-0.0084232639116724,0.054685523446190265,-0.06086039442945582,0.034742690211012395,0.04591740409781786,6.5,4.0039,0.48
2018-10,0.23786479026943297,0.19084876771047454,0.038528080447614466,0.23334568372044048,-0.06522136593541572,0.24997009601272122,0.2543326094797896,-0.13705399436435628,0.020269976927949906,0.2717546023129862,0.18945679810562244,0.06809220957358693,0.10186282170855288,-0.0141412149834384,6.5,3.7177,0.45
2018-11,0.07001719319662342,-0.13237946452655852,-0.07013245808686625,0.02506048953015072,0.03661537759459932,0.043370196806292505,0.038379793307591704,-0.007511395171784729,0.07351927176417761,-0.03529111456931078,-0.008276303174310162,-0.09630954293129328,0.023792093704245953,-0.11467711238349249,6.5,3.8633,-0.21
2018-12,0.01445229449773805,-0.04042215714503722,-0.021458906757189478,0.09559415744225348,-0.07678696653882973,0.02791777980365547,0.131001371919954,-0.05605539071429544,0.008912396700824499,0.09834896211920101,0.04015380872690916,-0.07000878012678009,-0.01806623167679655,-0.06312174878551469,6.5,3.8748,0.15
2019-01,0.1316747110383933,0.1629663557091764,0.04149994536820187,0.022558645480386774,0.10551510776451023,0.3128318909285761,0.18301181626042032,0.20089811904298294,0.11536308541509421,0.1673397776044061,0.13910478991255437,0.07652224108443328,0.10817299486841048,0.12453560247943707,6.5,3.6519,0.32
2019-02,-0.048026767375338925,0.18536373306514398,0.06934939855675065,-0.03188856325798639,-0.03880231836523481,-0.018959306806740295,0.006253434430320596,0.0019835775108624776,-0.07241553735580974,-0.041848595764677365,0.013934250069239484,-0.06444808534564828,-0.01858430704150149,0.10775922516330616,6.5,3.7385,0.43
2019-03,-0.009927182476998198,0.14438815393780824,0.09075222260420257,-0.01701294165272797,-0.020690552113330374,0.008203248986493236,0.004628650901022158,-0.04129804559062983,-0.01807622699399536,-0.004743314954191817,-0.029528127365210155,0.021606338208019937,-0.0017680783394710131,0.008538224773201486,6.5,3.8967,0.75
2019-04,0.007541756421163726,-0.028832625105851606,-0.08027404521130568,0.06651718427826385,0.0810649113346514,-0.0034364387389959803,0.10922480724663812,-0.073990716478189,0.01855395183463776,0.03578445164571661,0.021693954941911342,0.08864958542874524,0.009830739401561539,0.07623225486328744,6.5,3.9453,0.57
2019-05,0.035183710870146934,-0.05770934421787938,0.013346449771558272,0.018936248967022912,0.013769722538517123,0.044055876522354875,-0.06797716543958392,-0.1334984598381908,0.08742829456967799,0.06362138848664745,0.06022101751753628,-0.03131290775398898,0.007026247236723293,-0.027473155873110056,6.5,3.9407,0.13
2019-06,0.02522529279720659,-0.007624645286826437,0.07731164458598327,0.048630056013137336,0.03599611579882367,0.002434696442636978,0.08924358804546258,0.04395552359588362,0.07516637984213392,0.16621100270502742,0.07417674597650314,-0.032984032703278175,0.040575079872204434,0.06872565026398314,6.5,3.8322,0.01
2019-07,-0.06665984003840236,0.03376035255485149,-0.04155190365683292,0.0885355535023052,0.07492127807224398,0.08405610054848826,0.06587872375078141,-0.04266118569709659,0.07642346248933285,0.17000427060856108,0.06690586911503282,0.026156378968962207,0.008369071082630963,0.03927459434807884,6.5,3.7649,0.19
2019-08,-0.031771844745362876,-0.031005907344136052,-0.09410199870769406,0.049304294606828725,0.03798662136815819,0.03606402584948524,0.01363180473633141,-0.05646974489359391,0.13989166561228916,0.0759086656572403,0.03865136866700292,0.038992202127053566,-0.006649510863159569,-0.1576378398101887,6.0,4.1385,0.11
2019-09,0.03721308536804541,0.05982579401794186,-0.0035088344908976443,0.006630919005228127,0.03718261036649021,-0.029326223289600772,-0.03232807306193971,0.09554976519863756,0.07110886851016751,-0.07434849297396869,0.03750439412149309,0.1380980375838657,0.03569486330152771,0.02199977911598716,5.5,4.1644,-0.04
2019-10,0.04330053127356581,0.08254147498151909,-0.03767317794848202,0.13526234316824684,0.02547068999529704,0.00047743539896927256,0.057487227111721086,0.0025364024509718086,0.004391106195870076,0.08501259905438736,-0.05868883297803351,-0.028518109260616004,0.023628812831161472,-0.03616403485001518,5.0,4.0041,0.1
2019-11,-0.03107736952054499,0.10824713336590891,0.14032602460887916,0.030139762668513075,0.014531119582278559,-0.033733090889085306,0.027442477003598437,0.14121990314122057,0.05459299111620641,0.015820755786663938,0.057283137812446316,0.08191385237261968,0.009447864204439549,-0.008928197132662186,5.0,4.224,0.51
